#,Ejercicio,Trimestre,Tipo,"Nombre de la campaña o aviso institucional",Contratante,Solicitante,"Tiempo oficial","Monto total ejercido"
333,2019,abril-junio,"Avisos Institucionales","Licitacion o.m.12/19	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
334,2019,abril-junio,"Avisos Institucionales","iluminamos mayo v1",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
335,2019,abril-junio,"Avisos Institucionales","corte del mes de abril",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
336,2019,abril-junio,"Avisos Institucionales","condolencia perla ivonne granados",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
337,2019,abril-junio,"Avisos Institucionales","app mía y marca el cambio conéctate escudo chihuahua, oprime el botón",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
338,2019,octubre-diciembre,"Avisos Institucionales","LOGROS/ CONDONACIÓN DE LOS RECARGOS DEL PREDIAL.",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
339,2018,octubre-diciembre,"Avisos Institucionales","LICITACIÓN 54/18 BYN",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
340,2019,octubre-diciembre,"Avisos Institucionales","FICUU, CONDONACIÓN DEL LOS RECARGOS DEL PREDIAL",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
341,2018,octubre-diciembre,"Avisos Institucionales","1/4PUB. DE TOMA DE PROTESTA FELICITACIÓN",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
342,2018,octubre-diciembre,"Avisos Institucionales","1/4PUB LICITACIÓN PUB. O.M 48/18 OFICIALÍA MAYOR",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
343,2018,octubre-diciembre,"Avisos Institucionales","1/4 PUB. DE LICITACIÓN PÚBLICA LP/01/2018-IMPE",Chihuahua,Chihuahua,"Tiempo fiscal","$ 1,774,308.30"
344,2018,octubre-diciembre,"Avisos Institucionales","1/4 P. DE CIERRE TURBO GLORIETAS/OBRAS PÚBLICAS",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
345,2019,abril-junio,"Avisos Institucionales","Predial obras / predial descuento Marzo/ app mía y marca el cambio/turbo glorietas/ conectar cámaras/prevención lluvias",Chihuahua,Chihuahua,"Tiempo fiscal","$ 1,377,549.23"
346,2019,abril-junio,"Avisos Institucionales","predial  des feb	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
347,2019,abril-junio,"Avisos Institucionales","licitacion o.m. 16/19	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
348,2019,abril-junio,"Avisos Institucionales","felicitacion canaco",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
349,2019,abril-junio,"Avisos Institucionales","conv. nacional obra publica n° 06-2019",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
350,2019,abril-junio,"Avisos Institucionales","Beneficiarios de becas ",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
351,2019,abril-junio,"Avisos Institucionales","1/4 condolencia de genaro almeida / despacho  de la alcaldia	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
352,2019,octubre-diciembre,"Avisos Institucionales","CONDONACIÓN DE RECARGOS DEL PREDIAL/LOGROS/ CONDONACIÓN DEL LOS RECARGOS DEL PREDIAL",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
353,2019,octubre-diciembre,"Avisos Institucionales","BECAS ACADÉMICAS/ CONDONACIÓN DEL LOS RECARGOS DEL PREDIAL",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
354,2019,julio-septiembre,"Avisos Institucionales","Logros , trabajando cumplimos",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
355,2018,enero-marzo,"Avisos Institucionales"," AVISO DE DESARROLLO HUMANO  Y EDUCACION ",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
356,2019,abril-junio,"Avisos Institucionales","Turbbo Glorietas",Chihuahua,Chihuahua,"Tiempo fiscal","$ 300,000.00"
357,2019,octubre-diciembre,"Avisos Institucionales","DE RECARGOS DEL PREDIAL, LOGROS, CONDONACIÓN DEL PREDIAL DE AÑOS ANTERIORES",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
358,2019,octubre-diciembre,"Avisos Institucionales","CONDONACIÓN DE RECARGOS DEL PREDIAL. LOGROS",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
359,2019,julio-septiembre,"Avisos Institucionales","cierre de carril  izquierda   de periférico de la juventud	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
360,2019,abril-junio,"Avisos Institucionales","publicación de taller de reformas fiscales/ direccion de desarrollo económico y turismo.",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
361,2019,octubre-diciembre,"Avisos Institucionales","condonacion de recargos del prediallogros condonación del los recargos del predial22",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
362,2019,octubre-diciembre,"Avisos Institucionales","condonación de recargos del predial cierre de la gaza de la universidad  tarjeta de la mujer",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
363,2019,abril-junio,"Avisos Institucionales","felicitacion por el dia de la madre",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
364,2019,abril-junio,"Avisos Institucionales","Conv. obra publica 05-2019	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
365,2019,abril-junio,"Avisos Institucionales","Cierre por Turbo Glorietas ",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
366,2019,abril-junio,"Avisos Institucionales","1/4 publicación de licitacion o.m. 30/19- oficialia mayor",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
367,2019,octubre-diciembre,"Avisos Institucionales","TARJETA DE LA MUJER/CONDONACIÓN DE RECARGOS PREDIAL ",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
368,2019,octubre-diciembre,"Avisos Institucionales","logros ,condonación de recargos predial condonación de recargos predial",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
369,2018,octubre-diciembre,"Avisos Institucionales","LICITACIÓN 03/2018 IMPE BYN",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
370,2019,octubre-diciembre,"Avisos Institucionales","FICUU   del los recargos del predial",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
371,2018,octubre-diciembre,"Avisos Institucionales","1/4PUB. DE LICITACIÓN PÚBLICA O.M 71/18 OFICIALÍA MAYOR",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
372,2018,octubre-diciembre,"Avisos Institucionales","1/4PUB CIERRE GLORIETAS/OBRAS PÚBLICAS",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
373,2018,octubre-diciembre,"Avisos Institucionales","1/4 PUB. DE DOJA CAMPEONATO NACIONAL DE RODEO/DIRECCIÓN DE DESARROLLO ECONÓMICO Y TURÍSTICO",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
374,2019,abril-junio,"Avisos Institucionales","Publicación de predial descuentos febrero/ tesoreria, status",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
375,2019,abril-junio,"Avisos Institucionales","Predial Gracias Abril",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
376,2019,abril-junio,"Avisos Institucionales","lpcm 02/19, 03/19, 04/19, 05/19",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
377,2019,abril-junio,"Avisos Institucionales","licitacion impe 02/2018bis",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
378,2019,abril-junio,"Avisos Institucionales","Desc  del predial de Marzo	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
379,2019,abril-junio,"Avisos Institucionales","construcción de turboglorietas ciudadania",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
380,2019,abril-junio,"Avisos Institucionales","Becas de discpacidad",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
381,2019,octubre-diciembre,"Avisos Institucionales","SEMINARIOS DE MARKETING DIGITAL/ CONDONACIÓN DE RECARGOS PREDIAL",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
382,2019,octubre-diciembre,"Avisos Institucionales","FICUU/ RECARGOS DE DEL PREDIAL",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
383,2018,octubre-diciembre,"Avisos Institucionales","CORTE DEL MES DE OCTUBRE BYN",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
384,2018,octubre-diciembre,"Avisos Institucionales","1/4PUB. DE LICITACIÓN PÚBLICA O.M 63/18 OFICIALÍA",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
385,2018,octubre-diciembre,"Avisos Institucionales","1/4 PUB. LICITACIÓN PÚBLICA OM55/18 OFICIALÍA MAYOR",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
386,2018,octubre-diciembre,"Avisos Institucionales","1/4 PUB. DE CARRERA RETO LLENA TU BOLSA/DIR. DE DES. URBANO Y ECOLÓGICO",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
387,2019,abril-junio,"Avisos Institucionales","publicación de condolencia eliseo zubia ferrales/ despacho de la alcaldia.",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
388,2019,abril-junio,"Avisos Institucionales","predial del marzo",Chihuahua,Chihuahua,"Tiempo fiscal","$ 120,000.00"
389,2019,abril-junio,"Avisos Institucionales","Licitacion o.m10/19	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
390,2019,abril-junio,"Avisos Institucionales","Iniciamos la construcción turbo",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
391,2019,abril-junio,"Avisos Institucionales","CORTE DEL MES DE ENERO",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
392,2019,abril-junio,"Avisos Institucionales","condolencia profr. ever e. avitia	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
393,2019,abril-junio,"Avisos Institucionales",Becas,Chihuahua,Chihuahua,"Tiempo fiscal","$ 48,609.80"
394,2019,octubre-diciembre,"Avisos Institucionales","LOGROS/ CONDONACIÓN DE LOS RECARGOS DEL PREDIAL/",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
395,2018,octubre-diciembre,"Avisos Institucionales","LICITACIÓN 55/18BYN",Chihuahua,Chihuahua,"Tiempo fiscal","$ 257,928.89"
396,2019,octubre-diciembre,"Avisos Institucionales","ficuu,condonación de recargos predial condonación de recargos predial",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
397,2018,octubre-diciembre,"Avisos Institucionales","1/4PUB. DEL PREDIAL SECCIÓN NAVIDAD",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
398,2018,octubre-diciembre,"Avisos Institucionales","1/4PUB LICITACION PUB. O.M 49/18 OFICIALÍA MAYOR",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
399,2018,octubre-diciembre,"Avisos Institucionales","1/4 PUB. DE LICITACIÓN PÚBLICA O.M 03/18 IMPE",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
400,2018,octubre-diciembre,"Avisos Institucionales","1/4 PUB CONDOLENCIA VÍCTOR MANUEL ORTIZ DOMÍNGUEZ",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
401,2019,abril-junio,"Avisos Institucionales","Predial obras / predial descuento Marzo/ App MIA y Marca el Cambio/Turboglorietas/ Conectar Cámaras/Prevención Lluvias",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
402,2019,abril-junio,"Avisos Institucionales","Predial ""Gracias iluminamos""",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
403,2019,abril-junio,"Avisos Institucionales","Licitacion o.m. 19/19	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
404,2019,octubre-diciembre,"Avisos Institucionales","condonación de recargos del prediallogros de gobiernos municipal, tarjetas de mi  apoyo  mi bienestar",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
405,2019,octubre-diciembre,"Avisos Institucionales","condonación de recargos del predial ficus condonación del predial de años anteriores",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
406,2019,octubre-diciembre,"Avisos Institucionales","condonación de recargos del predialcierre  chip y juan pablo II .Tarjeta de la  mujer",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
407,2019,octubre-diciembre,"Avisos Institucionales","CONDOCACIÓN DE RECARGOS DEL PREDIAL/ LOGROS/ CONDOCACIÓN DE RECARGOS DEL PREDIAL",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
408,2019,julio-septiembre,"Avisos Institucionales","obras , trabajamos cumplimos , seguridad . Tarjeta  de la mujer  prenvencion de lluvias	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 2,889,388.49"
409,2018,enero-marzo,"Avisos Institucionales","FIESTA  DE LUZ, LOGROS ",Chihuahua,Chihuahua,"Tiempo fiscal","$ 203,999.99"
410,2019,abril-junio,"Avisos Institucionales","Turbo glorieta",Chihuahua,Chihuahua,"Tiempo fiscal","$ 33,600.00"
411,2019,octubre-diciembre,"Avisos Institucionales","CONDONACIÓN DE RECARGOS DEL PREDIAL/ CIERRE DE LA GAZA DE LA UNIVERSIDAD/ TARJETA DE LA MUJER",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
412,2019,julio-septiembre,"Avisos Institucionales","cierre de la gaza de la universidad  tarjeta de la mujer	",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
413,2019,abril-junio,"Avisos Institucionales","reconocimiento dr. contreras",Chihuahua,Chihuahua,"Tiempo fiscal","$ 0.00"
